0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:04 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:04 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:04 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:04 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:04 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:04 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:04 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:04 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:04 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:05 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:05 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:05 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:05 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:05 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:05 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:05 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:05 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:05 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:05 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:42 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:43 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:44 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:44 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:44 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:44 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:45 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:45 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:45 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:45 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:46 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:46 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:46 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:46 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:46 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:46 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:46 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:46 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:46 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:46 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:46 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:47 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:47 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:49 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:49 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:49 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:49 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:49 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:49 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:49 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:13:49 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:14:36 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 5792
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:15:24 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 5792
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:15:26 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:20:23 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 6045
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:20:49 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:21:02 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:21:04 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 200 -
